,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PIRATIO,B,LSTAT,MEDV
271,0.16211,20,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,396.9,6.59,25.2
272,0.1146,0,6.96,0,0.464,6.538,58.7,3.9175,5,335,18.6,394.96,7.73,24.4
273,0.26938,0,6.96,0,0.538,7.691,51.8,3.1025,3,335,18.6,391.34,11.265,35.2
274,0.26938,40,6.41,1,0.447,6.758,32.9,4.0776,4,254,17.6,396.9,3.53,32.4
275,0.09604,40,6.41,0,0.447,6.854,42.8,3.1025,4,254,17.6,391.34,2.98,32
276,0.10469,40,9.69,1,0.447,7.267,49,4.7872,4,254,17.6,389.25,6.05,33.2
277,0.06127,0,6.41,1,0.538,6.205,27.6,4.8628,4,254,17.6,393.45,4.16,33.1
278,0.07978,0,6.41,0,0.447,6.482,32.1,4.1403,4,335,17.6,396.9,11.265,29.1
279,0.21038,20,3.33,0,0.4429,6.205,77.7,4.1007,5,335,14.9,396.9,4.85,35.1
280,0.03578,20,3.33,0,0.538,7.82,77.7,3.1025,5,216,14.9,391.34,3.76,45.4
281,0.03705,20,3.33,0,0.4429,6.205,37.2,5.2447,5,216,14.9,392.23,4.59,35.4
282,0.06129,20,3.33,1,0.4429,6.205,49.7,5.2119,5,216,14.9,391.34,11.265,46
283,0.01501,90,1.21,0,0.401,7.923,24.8,3.1025,1,198,13.6,395.52,3.16,50
284,0.26938,0,2.97,0,0.538,7.088,20.8,7.3073,1,285,19.05,394.72,7.85,32.2
285,0.26938,55,9.69,0,0.389,6.205,77.7,3.1025,5,335,15.3,394.72,8.23,22
286,0.26938,80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,341.6,12.93,20.1
287,0.03871,52.5,5.32,0,0.405,6.209,77.7,7.3172,6,293,16.6,396.9,11.265,23.2
288,0.0459,0,5.32,0,0.538,6.315,45.6,7.3172,6,335,19.05,396.9,7.6,22.3
289,0.26938,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,371.72,9.51,24.8
290,0.03502,80,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.05,396.9,3.33,28.5
291,0.07886,80,4.95,0,0.538,7.148,77.7,5.1167,4,245,19.2,396.9,3.56,37.3
292,0.03615,80,4.95,0,0.538,6.63,23.4,5.1167,5,245,19.2,391.34,4.7,27.9
293,0.08265,0,13.92,0,0.437,6.127,18.4,3.1025,4,289,16,396.9,8.58,23.9
294,0.08199,0,13.92,0,0.437,6.009,77.7,5.5027,5,289,16,396.9,10.4,21.7
295,0.12932,0,9.69,0,0.437,6.678,31.1,3.1025,4,289,16,396.9,6.27,28.6
296,0.05372,0,13.92,0,0.437,6.549,51,5.9604,4,289,16,392.85,11.265,27.1
297,0.14103,0,13.92,0,0.437,5.79,58,3.1025,4,289,16,396.9,15.84,20.3
298,0.26938,70,9.69,0,0.4,6.345,20.1,7.8278,5,358,19.05,368.24,11.265,22.5
299,0.26938,0,2.24,0,0.4,7.041,77.7,7.8278,5,358,14.8,371.58,4.74,29
300,0.26938,70,2.24,0,0.4,6.871,47.4,7.8278,5,358,14.8,390.86,6.07,24.8
301,0.26938,34,9.69,0,0.433,6.205,40.4,5.4917,7,329,19.05,391.34,9.5,22
302,0.09266,34,6.09,0,0.433,6.495,18.4,5.4917,5,329,19.05,383.61,8.67,26.4
303,0.1,34,6.09,0,0.433,6.982,17.7,5.4917,7,329,19.05,390.43,4.86,33.1
304,0.05515,33,2.18,0,0.538,7.236,41.1,4.022,7,222,18.4,393.68,6.93,36.1
305,0.05479,33,9.69,0,0.472,6.616,58.1,3.37,7,222,18.4,391.34,8.93,28.4
306,0.07503,33,2.18,0,0.538,7.42,71.9,3.0992,7,222,18.4,396.9,6.47,33.4
307,0.04932,33,2.18,0,0.538,6.849,70.3,3.1827,7,222,18.4,396.9,7.53,28.2
308,0.49298,0,9.9,0,0.544,6.635,82.5,3.3175,5,304,18.4,396.9,4.54,22.8
309,0.26938,0,9.9,0,0.544,6.205,77.7,3.1025,4,304,18.4,396.24,9.97,20.3
310,2.63548,0,9.9,0,0.544,4.973,77.7,2.5194,4,335,18.4,350.45,12.64,16.1
311,0.79041,0,9.69,0,0.544,6.122,52.8,2.6403,4,304,18.4,391.34,5.98,22.1
312,0.26169,0,9.9,0,0.538,6.023,77.7,2.834,4,335,18.4,396.3,11.72,19.4
313,0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,335,19.05,391.34,7.9,21.6
314,0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28,23.8
315,0.25356,0,9.9,0,0.538,5.705,77.7,3.1025,4,304,18.4,391.34,11.265,16.2
316,0.26938,0,9.9,0,0.544,5.914,83.2,3.1025,4,335,18.4,390.7,18.33,17.8
317,0.24522,0,9.9,0,0.544,5.782,77.7,4.0317,4,304,18.4,396.9,15.94,19.8
318,0.40202,0,9.69,0,0.544,6.382,67.2,3.1025,4,304,18.4,395.21,10.36,23.1
319,0.47547,0,9.9,0,0.544,6.113,77.7,3.1025,4,304,18.4,391.34,12.73,21
320,0.1676,0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,11.265,23.8
321,0.18159,0,7.38,0,0.493,6.205,54.3,4.5404,5,335,19.05,396.9,6.87,23.1
322,0.35114,0,7.38,0,0.493,6.041,77.7,4.7211,5,287,19.6,396.9,7.7,20.4
323,0.28392,0,7.38,0,0.538,5.708,74.3,4.7211,5,287,19.05,391.13,11.74,18.5
324,0.34109,0,7.38,0,0.538,6.205,40.1,3.1025,5,287,19.6,396.9,6.12,25
325,0.19186,0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08,24.6
326,0.30347,0,9.69,0,0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15,23
327,0.26938,0,7.38,0,0.538,6.205,43.7,5.4159,5,287,19.05,391.34,11.265,22.2
328,0.26938,0,3.24,0,0.538,6.205,25.8,5.2146,5,430,16.9,391.34,9.97,19.3
329,0.06724,0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,391.34,7.34,22.6
330,0.04544,0,3.24,0,0.46,6.144,77.7,5.8736,4,430,16.9,391.34,9.09,19.8
331,0.05023,35,6.06,0,0.4379,5.706,28.4,3.1025,1,304,16.9,394.02,12.43,17.1
332,0.03466,35,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,362.25,11.265,19.4
333,0.05083,0,5.19,0,0.538,6.316,38.1,6.4584,5,224,20.2,389.71,5.68,22.2
334,0.26938,0,5.19,0,0.515,6.31,77.7,6.4584,5,224,20.2,389.4,6.75,20.7
335,0.03961,0,5.19,0,0.515,6.037,34.5,5.9853,5,224,19.05,391.34,8.01,21.1
336,0.26938,0,5.19,0,0.538,5.869,46.3,5.2311,5,335,20.2,396.9,9.8,19.5
337,0.26938,0,5.19,0,0.515,5.895,77.7,5.615,5,335,20.2,391.34,10.56,18.5
338,0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51,20.6
339,0.05497,0,5.19,0,0.538,5.985,45.4,3.1025,5,224,20.2,396.9,11.265,19
340,0.06151,0,5.19,0,0.515,5.968,77.7,4.8122,5,224,20.2,396.9,9.29,18.7
341,0.01301,0,1.52,0,0.442,7.241,49.3,7.0379,1,335,15.5,394.74,11.265,32.7
342,0.02498,0,9.69,0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,16.5
343,0.02543,55,3.78,0,0.484,6.696,77.7,5.7321,5,370,17.6,396.9,7.18,23.9
344,0.26938,55,3.78,0,0.538,6.205,28.1,6.4654,5,370,17.6,387.97,4.61,31.2
345,0.26938,0,9.69,0,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53,17.5
346,0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,17.2
347,0.0187,85,4.15,0,0.429,6.205,27.7,8.5353,4,351,17.9,392.43,11.265,23.1
348,0.01501,80,2.01,0,0.435,6.635,77.7,8.344,4,280,17,390.94,11.265,24.5
349,0.02899,40,1.25,0,0.429,6.939,77.7,8.7921,1,335,19.7,389.85,5.89,26.6
350,0.06211,40,1.25,0,0.429,6.49,44.4,3.1025,1,335,19.7,391.34,5.98,22.9
351,0.0795,60,1.69,0,0.538,6.205,35.9,10.7103,4,411,19.05,370.78,5.49,24.1
352,0.07244,60,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,392.33,11.265,18.6
353,0.01709,90,9.69,0,0.41,6.728,36.1,12.1265,5,335,17,384.46,4.5,30.1
354,0.26938,0,1.91,0,0.413,6.205,21.9,3.1025,4,334,22,382.8,8.05,18.2
355,0.10659,0,1.91,0,0.413,5.936,19.5,3.1025,4,334,22,376.04,5.57,20.6
356,8.98296,0,9.69,1,0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6,17.8
357,0.26938,0,18.1,0,0.77,6.395,91,2.5052,24,666,20.2,391.34,13.27,21.7
358,5.20177,0,18.1,0,0.538,6.205,77.7,3.1025,24,666,19.05,395.43,11.48,22.7
359,4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,5,666,19.05,390.74,12.67,22.6
360,4.54192,0,9.69,0,0.77,6.398,88,2.5182,5,666,20.2,374.56,7.79,25
361,3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19,19.9
362,3.67822,0,18.1,0,0.77,6.205,96.2,2.1036,5,666,19.05,380.79,11.265,20.8
363,4.22239,0,18.1,1,0.77,5.803,89,1.9047,24,335,20.2,391.34,14.64,16.8
364,3.47428,0,18.1,1,0.718,8.78,82.9,3.1025,24,335,20.2,354.55,5.29,21.9
365,4.55587,0,9.69,0,0.718,3.561,77.7,1.6132,5,666,20.2,354.7,7.12,27.5
366,3.69695,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,316.03,11.265,21.9
367,0.26938,0,18.1,0,0.631,6.205,100,1.5106,5,666,20.2,391.34,13.33,23.1
368,4.89822,0,9.69,0,0.631,4.97,100,1.3325,24,666,20.2,375.52,3.26,50
369,5.66998,0,18.1,1,0.631,6.205,96.8,1.3567,5,666,20.2,375.33,3.73,50
370,6.53876,0,18.1,0,0.538,7.016,97.5,1.2024,24,666,20.2,391.34,2.96,50
371,0.26938,0,18.1,0,0.631,6.205,100,1.1691,24,666,20.2,366.15,9.53,50
372,8.26725,0,18.1,1,0.668,6.205,77.7,1.1296,24,335,20.2,347.88,8.88,50
373,11.1081,0,18.1,0,0.538,4.906,100,1.1742,24,335,20.2,391.34,34.77,13.8
374,0.26938,0,18.1,0,0.668,4.138,100,3.1025,24,335,19.05,391.34,37.97,13.8
375,19.6091,0,18.1,0,0.671,7.313,97.9,1.3163,24,335,19.05,396.9,13.44,15
376,15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,391.34,11.265,13.9
377,9.82349,0,9.69,0,0.671,6.205,77.7,3.1025,24,666,20.2,391.34,21.24,13.3
378,23.6482,0,18.1,0,0.671,6.38,96.2,3.1025,5,666,20.2,396.9,23.69,13.1
379,0.26938,0,18.1,0,0.671,6.223,100,1.3861,24,666,20.2,393.74,21.78,10.2
380,88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,391.34,11.265,10.4
381,15.8744,0,18.1,0,0.538,6.205,77.7,1.5192,5,666,20.2,396.9,21.08,10.9
382,9.18702,0,9.69,0,0.538,5.536,77.7,3.1025,24,666,20.2,396.9,23.6,11.3
383,7.99248,0,18.1,0,0.7,6.205,100,1.5331,24,666,20.2,396.9,11.265,12.3
384,20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63,8.8
385,16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,11.265,7.2
386,24.3938,0,9.69,0,0.7,4.652,100,1.4672,24,666,20.2,396.9,28.28,10.5
387,22.5971,0,9.69,0,0.7,5,89.5,3.1025,24,666,19.05,396.9,31.99,7.4
388,14.3337,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,372.92,30.62,10.2
389,8.15174,0,9.69,0,0.7,5.39,98.9,3.1025,24,335,20.2,396.9,11.265,11.5
390,6.96215,0,18.1,0,0.7,5.713,97,1.9265,5,666,20.2,394.43,17.11,15.1
391,5.29305,0,18.1,0,0.7,6.051,82.5,2.1678,5,666,20.2,378.38,18.76,23.2
392,11.5779,0,18.1,0,0.7,5.036,77.7,1.77,24,335,20.2,396.9,11.265,9.7
393,8.64476,0,18.1,0,0.693,6.205,77.7,3.1025,24,666,20.2,396.9,15.17,13.8
394,0.26938,0,18.1,0,0.693,5.887,94.7,3.1025,24,666,20.2,391.34,11.265,12.7
395,8.71675,0,9.69,0,0.538,6.205,98.8,1.7257,24,666,19.05,391.98,17.12,13.1
396,5.87205,0,18.1,0,0.538,6.405,96,1.6768,24,666,20.2,396.9,19.37,12.5
397,7.67202,0,18.1,0,0.693,5.747,98.9,1.6334,24,666,20.2,391.34,19.92,8.5
398,38.3518,0,18.1,0,0.693,5.453,77.7,1.4896,5,666,20.2,396.9,30.59,5
399,0.26938,0,18.1,0,0.693,5.852,77.8,1.5004,5,666,20.2,338.16,29.97,6.3
400,25.0461,0,18.1,0,0.693,5.987,100,1.5888,24,335,20.2,396.9,26.77,5.6
401,0.26938,0,9.69,0,0.693,6.343,100,1.5741,24,666,20.2,396.9,20.32,7.2
402,9.59571,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,376.11,11.265,12.1
403,24.8017,0,18.1,0,0.693,5.349,77.7,1.7028,24,335,20.2,396.9,19.77,8.3
404,41.5292,0,18.1,0,0.693,6.205,85.4,1.6074,24,335,20.2,329.46,27.38,8.5
405,67.9208,0,18.1,0,0.693,5.683,100,1.4254,24,666,20.2,384.97,22.98,5
406,0.26938,0,9.69,0,0.659,4.138,100,1.1781,24,666,19.05,370.22,11.265,11.9
407,11.9511,0,18.1,0,0.659,5.608,77.7,1.2852,24,666,20.2,332.09,12.13,27.9
408,7.40389,0,18.1,0,0.597,5.617,77.7,1.4547,24,666,19.05,314.64,26.4,17.2
409,14.4383,0,18.1,0,0.597,6.852,100,1.4655,24,666,20.2,179.36,19.78,27.5
410,51.1358,0,18.1,0,0.597,5.757,100,1.413,5,666,19.05,2.6,10.11,15
411,14.0507,0,9.69,0,0.597,6.205,100,1.5275,24,666,20.2,35.05,11.265,17.2
412,18.811,0,18.1,0,0.597,4.628,100,3.1025,24,666,20.2,28.79,34.37,17.9
413,0.26938,0,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,210.97,20.08,16.3
414,45.7461,0,18.1,0,0.693,4.519,100,1.6582,24,666,19.05,88.27,36.98,7
415,18.0846,0,18.1,0,0.679,6.434,100,1.8347,24,335,20.2,27.25,11.265,7.2
416,10.8342,0,18.1,0,0.538,6.782,90.8,3.1025,24,666,20.2,21.57,25.79,7.5
417,0.26938,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64,10.4
418,73.5341,0,9.69,0,0.679,6.205,77.7,1.8026,24,666,20.2,16.45,20.62,8.8
419,11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,391.34,11.265,8.4
420,11.0874,0,9.69,0,0.718,6.411,100,1.8589,24,666,19.05,391.34,15.02,16.7
421,7.02259,0,18.1,0,0.718,6.205,95.3,1.8746,24,666,20.2,319.98,15.7,14.2
422,12.0482,0,18.1,0,0.614,5.648,87.6,1.9512,24,666,19.05,291.55,14.1,20.8
423,7.05042,0,18.1,0,0.538,6.103,85.1,2.0218,24,666,20.2,2.52,23.29,13.4
424,8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,3.65,17.16,11.7
425,15.8603,0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39,8.3
426,12.2472,0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,24.65,15.69,10.2
427,37.6619,0,18.1,0,0.679,6.202,78.7,1.8629,24,335,20.2,391.34,11.265,10.9
428,0.26938,0,18.1,0,0.679,6.193,78.1,1.9356,24,335,20.2,391.34,21.52,11
429,9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,19.05,60.72,24.08,9.5
430,8.49213,0,18.1,0,0.538,6.348,86.1,2.0527,24,335,20.2,83.45,17.64,14.5
431,10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,5,335,20.2,391.34,19.69,14.1
432,6.44405,0,18.1,0,0.538,6.425,74.8,2.2004,24,666,20.2,391.34,11.265,16.1
433,5.58107,0,9.69,0,0.713,6.436,87.9,2.3158,24,335,20.2,100.19,16.22,14.3
434,0.26938,0,18.1,0,0.713,6.208,95,2.2222,5,335,19.05,391.34,15.17,11.7
435,0.26938,0,18.1,0,0.74,6.629,94.6,2.1247,5,666,19.05,391.34,23.27,13.4
436,14.4208,0,9.69,0,0.74,6.461,77.7,2.0026,24,335,20.2,27.49,18.05,9.6
437,15.1772,0,18.1,0,0.74,6.152,100,3.1025,24,335,20.2,9.32,11.265,8.7
438,13.6781,0,18.1,0,0.74,5.935,87.9,3.1025,24,666,20.2,68.95,34.02,8.4
439,9.39063,0,18.1,0,0.74,5.627,93.9,1.8172,24,666,19.05,396.9,22.88,12.8
440,22.0511,0,9.69,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11,10.5
441,9.72418,0,18.1,0,0.74,6.406,97.2,2.0651,24,335,20.2,391.34,19.52,17.1
442,5.66637,0,18.1,0,0.538,6.219,77.7,2.0048,24,666,20.2,395.69,16.59,18.4
443,9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,335,20.2,386.73,18.85,15.4
444,12.8023,0,18.1,0,0.538,5.854,77.7,1.8956,24,666,19.05,240.52,11.265,10.8
445,0.26938,0,18.1,0,0.538,6.459,94.8,1.9879,24,666,20.2,43.06,11.265,11.8
446,6.28807,0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79,14.9
447,9.92485,0,18.1,0,0.74,6.251,96.6,3.1025,24,666,20.2,388.52,16.44,12.6
448,9.32909,0,18.1,0,0.713,6.205,98.7,2.2616,24,666,20.2,391.34,18.13,14.1
449,7.52601,0,18.1,0,0.713,6.417,77.7,3.1025,24,666,20.2,304.21,19.31,13
450,6.71772,0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,0.32,11.265,13.4
451,5.44114,0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,391.34,17.73,15.2
452,5.09017,0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,385.09,11.265,16.1
453,8.24809,0,18.1,0,0.713,7.393,99.3,3.1025,24,666,20.2,375.87,16.74,17.8
454,9.51363,0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71,14.9
455,4.75237,0,18.1,0,0.713,6.525,86.5,2.4358,5,335,20.2,50.92,11.265,14.1
456,4.66883,0,18.1,0,0.538,6.205,87.9,2.5806,5,666,20.2,10.48,19.01,12.7
457,8.20058,0,18.1,0,0.538,5.936,80.3,2.7792,24,666,20.2,3.5,16.94,13.5
458,7.75223,0,18.1,0,0.713,6.301,83.7,2.7831,24,666,19.05,272.21,11.265,14.9
459,6.80117,0,18.1,0,0.713,6.081,84.4,3.1025,24,666,20.2,396.9,14.7,20
460,0.26938,0,18.1,0,0.713,6.701,90,2.5975,24,666,20.2,255.23,11.265,16.4
461,3.69311,0,18.1,0,0.538,6.376,88.4,2.5671,24,666,20.2,391.43,14.65,17.7
462,6.65492,0,18.1,0,0.713,6.205,83,2.7344,5,666,20.2,396.9,13.99,19.5
463,5.82115,0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29,20.2
464,7.83932,0,18.1,0,0.538,6.209,65.4,2.9634,24,335,20.2,396.9,13.22,21.4
465,0.26938,0,18.1,0,0.655,6.205,77.7,3.0665,24,666,20.2,334.4,14.13,19.9
466,3.77498,0,18.1,0,0.655,5.952,84.7,2.8715,24,666,19.05,391.34,17.15,19
467,4.42228,0,9.69,0,0.584,6.003,94.5,2.5403,24,666,20.2,331.29,21.32,19.1
468,15.5757,0,9.69,0,0.58,5.926,71,2.9084,5,335,20.2,368.74,18.13,19.1
469,13.0751,0,9.69,0,0.58,5.713,56.7,2.8237,24,666,19.05,396.9,14.76,20.1
470,4.34879,0,18.1,0,0.58,6.167,84,3.0334,24,335,20.2,396.9,16.29,19.9
471,0.26938,0,18.1,0,0.532,6.229,90.7,3.0993,24,335,20.2,395.33,12.87,19.6
472,3.56868,0,18.1,0,0.58,6.205,75,2.8965,24,666,20.2,393.37,11.265,23.2
473,4.64689,0,18.1,0,0.538,6.98,67.6,2.5329,5,335,19.05,374.68,11.66,29.8
474,0.26938,0,18.1,0,0.584,5.427,95.4,3.1025,24,666,20.2,352.58,18.14,13.8
475,0.26938,0,18.1,0,0.584,6.162,97.4,2.206,5,335,20.2,302.76,24.1,13.3
476,0.26938,0,18.1,0,0.538,6.484,93.6,2.3053,24,666,20.2,396.21,18.68,16.7
477,15.0234,0,18.1,0,0.614,6.205,97.3,2.1007,24,666,20.2,349.48,24.91,12
478,10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,19.05,379.7,11.265,14.6
479,14.3337,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,391.34,13.11,21.4
480,5.82401,0,18.1,0,0.532,6.205,64.7,3.4242,24,666,20.2,396.9,10.74,23
481,5.70818,0,18.1,0,0.532,6.75,77.7,3.3317,24,666,20.2,393.07,7.74,23.7
482,0.26938,0,9.69,0,0.538,7.061,77.7,3.4106,5,666,20.2,395.28,7.01,25
483,2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,392.92,10.42,21.8
484,2.37857,0,18.1,0,0.583,5.871,41.9,3.1025,24,335,19.05,370.73,13.34,20.6
485,3.67367,0,18.1,0,0.538,6.205,51.9,3.9917,24,666,20.2,391.34,10.58,21.2
486,5.69175,0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,392.68,14.98,19.1
487,4.83567,0,18.1,0,0.583,6.205,53.2,3.1523,5,666,19.05,388.22,11.45,20.6
488,0.15086,0,27.74,0,0.609,5.454,92.7,3.1025,4,335,20.1,395.09,18.06,15.2
489,0.18337,0,27.74,0,0.609,5.414,77.7,1.7554,4,711,20.1,391.34,23.97,7
490,0.20746,0,27.74,0,0.609,5.093,98,3.1025,4,711,19.05,318.43,29.68,8.1
491,0.26938,0,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,390.11,18.07,13.6
492,0.26938,0,27.74,0,0.538,6.205,83.5,3.1025,5,711,19.05,396.9,13.35,20.1
493,0.17331,0,9.69,0,0.585,5.707,54,2.3817,6,391,19.2,396.9,12.01,21.8
494,0.27957,0,9.69,0,0.585,6.205,42.6,2.3817,5,391,19.2,396.9,13.59,24.5
495,0.17899,0,9.69,0,0.585,6.205,77.7,2.7986,6,391,19.2,393.29,17.6,23.1
496,0.2896,0,9.69,0,0.538,6.205,72.9,2.7986,6,391,19.2,391.34,21.14,19.7
497,0.26838,0,9.69,0,0.585,5.794,70.6,2.8927,6,335,19.2,396.9,11.265,18.3
498,0.23912,0,9.69,0,0.585,6.205,65.3,2.4091,6,391,19.2,391.34,12.92,21.2
499,0.26938,0,9.69,0,0.585,5.569,73.5,2.3999,6,335,19.2,395.77,15.1,17.5
500,0.22438,0,9.69,0,0.585,6.205,79.7,2.4982,6,391,19.2,391.34,14.33,16.8
501,0.06263,0,11.93,0,0.573,6.593,69.1,2.4786,1,273,21,391.99,9.67,22.4
502,0.04527,0,11.93,0,0.573,6.12,76.7,2.2875,1,273,21,396.9,9.08,20.6
503,0.06076,0,9.69,0,0.573,6.976,91,2.1675,1,273,21,396.9,5.64,23.9
504,0.26938,0,9.69,0,0.573,6.794,89.3,2.3889,5,335,21,391.34,6.48,22
505,0.26938,0,11.93,0,0.573,6.03,77.7,2.505,1,273,21,396.9,7.88,11.9
